ID,fileName,startFrame,endFrame
2-2,2_N3_N3_000,5345.22496,5542.26088
2-2,2_N3_N3_000,5542.26088,5883.6226
2-2,2_N3_N3_000,5883.6226,6124.5838
2-2,2_N3_N3_000,6124.5838,6404.4502
20,20_I2_H3,637.7054,1422.67928
20,20_I2_H3,1422.67928,2166.8414
20,20_I2_H3,2166.8414,2921.4236
20,20_I2_H3,5089.65332,6052.63568
20,20_I2_H3,6052.63568,7013.01296
20,20_I2_H3,7013.01296,7830.11516
20,20_I2_H3,7830.11516,8681.95064
20,20_I2_H3,8681.95064,9471.26624
20,20_I2_H3,9471.26624,10323.97004
20,20_I2_H3,10323.97004,10919.64716
20,20_I2_H3,10919.64716,11789.71772
20,20_I2_H3,11789.71772,12515.64488
20,20_I2_H3,12515.64488,13269.35864
20,20_I2_H3,13269.35864,14052.59588
20,20_I2_H3,14052.59588,14821.93964
20,20_I2_H3,14821.93964,15655.54016
20,20_I2_H3,15655.54016,16249.48064
21-2,21_S3_D3_000,869.0528,1521.29636
21-2,21_S3_D3_000,1521.29636,2183.59376
21-2,21_S3_D3_000,2183.59376,2829.55364
21-2,21_S3_D3_000,2829.55364,3406.3934
21-2,21_S3_D3_000,3406.3934,4018.42148
21-2,21_S3_D3_000,4018.42148,4621.65248
21-2,21_S3_D3_000,4621.65248,5243.73452
21-2,21_S3_D3_000,5243.73452,5997.77336
21-2,21_S3_D3_000,5997.77336,6564.55916
21-2,21_S3_D3_000,6564.55916,7211.7758
21-2,21_S3_D3_000,7211.7758,7724.52212
21-2,21_S3_D3_000,7724.52212,8381.7926
21-2,21_S3_D3_000,8381.7926,9051.63044
21-2,21_S3_D3_000,9051.63044,9461.32484
21-2,21_S3_D3_000,9461.32484,10167.60776
21-2,21_S3_D3_000,10167.60776,10816.08116
21-2,21_S3_D3_000,10816.08116,11277.30152
21-2,21_S3_D3_000,11277.30152,11720.92772
22,22_S2_D2,716.60784,1376.47092
22,22_S2_D2,1376.47092,1964.81508
22,22_S2_D2,1964.81508,2601.73812
22,22_S2_D2,2601.73812,3235.96236
22,22_S2_D2,3235.96236,3759.53472
22,22_S2_D2,3759.53472,4418.04828
22,22_S2_D2,4418.04828,5266.82928
22,22_S2_D2,5266.82928,6004.95828
22,22_S2_D2,6004.95828,6686.412
22,22_S2_D2,6686.412,7467.72216
22,22_S2_D2,7467.72216,8258.47836
22,22_S2_D2,8258.47836,9033.04152
22,22_S2_D2,9033.04152,9605.19276
22,22_S2_D2,9605.19276,10269.10404
22,22_S2_D2,10269.10404,10848.00228
22,22_S2_D2,10848.00228,11521.35948
22,22_S2_D2,11521.35948,12024.6906
22,22_S2_D2,12024.6906,12483.49116
23,23_S3_F3,1191.40644,1735.49796
23,23_S3_F3,1735.49796,2294.29464
23,23_S3_F3,2294.29464,2727.42888
23,23_S3_F3,2727.42888,3314.29908
23,23_S3_F3,3314.29908,3572.30808
23,23_S3_F3,3977.36892,4661.82792
23,23_S3_F3,4661.82792,5208.59316
23,23_S3_F3,5208.59316,5843.58936
23,23_S3_F3,5843.58936,6358.27056
23,23_S3_F3,6979.8984,7462.49556
23,23_S3_F3,7462.49556,8074.76568
23,23_S3_F3,8074.76568,8707.08816
23,23_S3_F3,8707.08816,9265.88496
23,23_S3_F3,9265.88496,9700.356
23,23_S3_F3,9700.356,10288.563
23,23_S3_F3,10288.563,10702.98168
23,23_S3_F3,12206.92008,12569.20212
23,23_S3_F3,12569.20212,12939.5052
24,24_C3_S3,1644.25516,2364.50176
24,24_C3_S3,2364.50176,3189.022
24,24_C3_S3,3189.022,3984.53884
24,24_C3_S3,3984.53884,4380.91624
24,24_C3_S3,4380.91624,4956.8374
24,24_C3_S3,4956.8374,5650.15252
24,24_C3_S3,5650.15252,6187.4026
24,24_C3_S3,6187.4026,6840.66568
24,24_C3_S3,6840.66568,7429.01668
24,24_C3_S3,7429.01668,8123.713
24,24_C3_S3,8123.713,8503.51708
24,24_C3_S3,8503.51708,9254.83864
24,24_C3_S3,9254.83864,9645.69148
24,24_C3_S3,9645.69148,10253.37808
24,24_C3_S3,10253.37808,10721.57296
24,24_C3_S3,10721.57296,11091.70924
24,24_C3_S3,12584.68468,13402.29928
24,24_C3_S3,13402.29928,13696.47484
25,25_H2_I3,679.63124,1457.27168
25,25_H2_I3,1457.27168,2375.42252
25,25_H2_I3,2375.42252,3014.78276
25,25_H2_I3,3014.78276,3747.07316
25,25_H2_I3,3747.07316,4355.2088
25,25_H2_I3,4355.2088,5076.34748
25,25_H2_I3,5076.34748,5708.27324
25,25_H2_I3,5708.27324,6450.22844
25,25_H2_I3,6450.22844,7080.66728
25,25_H2_I3,7080.66728,7780.98968
25,25_H2_I3,7780.98968,8484.28592
25,25_H2_I3,8484.28592,9263.41316
25,25_H2_I3,9263.41316,9990.49952
25,25_H2_I3,9990.49952,10625.399
25,25_H2_I3,10625.399,11279.62796
25,25_H2_I3,11279.62796,12504.82052
25,25_H2_I3,12504.82052,13420.74104
25,25_H2_I3,13420.74104,13886.13584
26,26_H3_C3,616.37868,1164.06888
26,26_H3_C3,1164.06888,1812.7158
26,26_H3_C3,1812.7158,2351.5722
26,26_H3_C3,2351.5722,2956.0506
26,26_H3_C3,2956.0506,3521.40828
26,26_H3_C3,3521.40828,4190.24652
26,26_H3_C3,4190.24652,4657.17132
26,26_H3_C3,4657.17132,5329.79544
26,26_H3_C3,5329.79544,5969.60868
26,26_H3_C3,5969.60868,6569.03916
26,26_H3_C3,6569.03916,7236.61548
26,26_H3_C3,7236.61548,7943.31252
26,26_H3_C3,7943.31252,8608.36488
26,26_H3_C3,8608.36488,9186.34212
26,26_H3_C3,9186.34212,9812.27376
26,26_H3_C3,9812.27376,10448.301
26,26_H3_C3,10448.301,11242.07328
26,26_H3_C3,11242.07328,11672.4012
27,27_C2_C2,669.19224,1237.374
27,27_C2_C2,1237.374,1836.9276
27,27_C2_C2,1836.9276,2191.31496
27,27_C2_C2,2191.31496,2790.86856
27,27_C2_C2,2790.86856,3125.5032
27,27_C2_C2,3125.5032,3811.03932
27,27_C2_C2,3811.03932,4293.23856
27,27_C2_C2,4293.23856,4899.7638
27,27_C2_C2,4899.7638,5252.9892
27,27_C2_C2,5252.9892,5886.23868
27,27_C2_C2,5886.23868,6255.73104
27,27_C2_C2,6255.73104,7106.26068
27,27_C2_C2,7106.26068,7679.09004
27,27_C2_C2,7679.09004,8518.00032
27,27_C2_C2,8518.00032,8863.09224
27,27_C2_C2,8863.09224,9600.91512
27,27_C2_C2,9600.91512,10280.64168
27,27_C2_C2,10280.64168,10601.33316
28,28_C3_I2,653.70856,1339.47016
28,28_C3_I2,1339.47016,2022.48316
28,28_C3_I2,2022.48316,2651.89972
28,28_C3_I2,2651.89972,3278.56768
28,28_C3_I2,3278.56768,3917.60404
28,28_C3_I2,3917.60404,4669.33072
28,28_C3_I2,4669.33072,5177.81128
28,28_C3_I2,5177.81128,5823.71896
28,28_C3_I2,5823.71896,6428.3986
28,28_C3_I2,6428.3986,7121.03152
28,28_C3_I2,7121.03152,7977.20284
28,28_C3_I2,7977.20284,8704.1926
28,28_C3_I2,8704.1926,9471.03628
28,28_C3_I2,9471.03628,10151.3008
28,28_C3_I2,10151.3008,10714.75228
28,28_C3_I2,10714.75228,11438.99356
28,28_C3_I2,11438.99356,12407.85508
28,28_C3_I2,12407.85508,12879.23032
29,29_F3_H2,904.6628,1512.44972
29,29_F3_H2,1512.44972,2190.27452
